UC_NM_MN,XC_NM_LST,street_orientation_entropy,orientation_order_indicator,weighted_street_orientation_entropy,median_street_segment_length,average_circuity,average_node_degree,proportion_nodes_dead_ends,proportion_nodes_fourway_intersections,ID_HDC_G0,QA2_1V,AREA,BBX_LATMN,BBX_LONMN,BBX_LATMX,BBX_LONMX,GCPNT_LAT,GCPNT_LON,CTR_MN_NM,CTR_MN_ISO,XBRDR,XCTR_NBR,XC_ISO_LST,GRGN_L1,GRGN_L2,UC_NM_LST,UC_NM_SRC,H75_NBR,H90_NBR,H00_NBR,H75_AREA,H90_AREA,H00_AREA,E_BM_NM_LST,E_SL_LST,EL_AV_ALS,E_KG_NM_LST,E_RB_NM_LST,E_WR_P_90,E_WR_P_00,E_WR_P_14,E_WR_T_90,E_WR_T_00,E_WR_T_14,B75,B90,B00,B15,P75,P90,P00,P15,BUCAP75,BUCAP90,BUCAP00,BUCAP15,NTL_AV,GDP90_SM,GDP00_SM,GDP15_SM,INCM_CMI,DEV_CMI,TT2CC,E_GR_AV90,E_GR_AV00,E_GR_AV14,E_GR_AH90,E_GR_AM90,E_GR_AL90,E_GR_AT90,E_GR_AH00,E_GR_AM00,E_GR_AL00,E_GR_AT00,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14,E_EC2E_E75,E_EC2E_E90,E_EC2E_E00,E_EC2E_E15,E_EC2E_R75,E_EC2E_R90,E_EC2E_R00,E_EC2E_R15,E_EC2E_I75,E_EC2E_I90,E_EC2E_I00,E_EC2E_I15,E_EC2E_T75,E_EC2E_T90,E_EC2E_T00,E_EC2E_T15,E_EC2E_A75,E_EC2E_A90,E_EC2E_A00,E_EC2E_A15,E_EC2O_E75,E_EC2O_E90,E_EC2O_E00,E_EC2O_E15,E_EC2O_R75,E_EC2O_R90,E_EC2O_R00,E_EC2O_R15,E_EC2O_I75,E_EC2O_I90,E_EC2O_I00,E_EC2O_I15,E_EC2O_T75,E_EC2O_T90,E_EC2O_T00,E_EC2O_T15,E_EC2O_A75,E_EC2O_A90,E_EC2O_A00,E_EC2O_A15,E_EPM2_E75,E_EPM2_E90,E_EPM2_E00,E_EPM2_E15,E_EPM2_R75,E_EPM2_R90,E_EPM2_R00,E_EPM2_R15,E_EPM2_I75,E_EPM2_I90,E_EPM2_I00,E_EPM2_I15,E_EPM2_T75,E_EPM2_T90,E_EPM2_T00,E_EPM2_T15,E_EPM2_A75,E_EPM2_A90,E_EPM2_A00,E_EPM2_A15,E_CPM2_T00,E_CPM2_T05,E_CPM2_T10,E_CPM2_T14,EX_FD_AREA,EX_FD_B75,EX_FD_B90,EX_FD_B00,EX_FD_B15,EX_FD_P75,EX_FD_P90,EX_FD_P00,EX_FD_P15,EX_SS_AREA,EX_SS_B75,EX_SS_B90,EX_SS_B00,EX_SS_B15,EX_SS_P75,EX_SS_P90,EX_SS_P00,EX_SS_P15,EX_EQ19PGA,EX_EQ19MMI,EX_EQ19_Q,EX_HW_IDX,SDG_LUE9015,SDG_A2G14,SDG_OS15MX,geometry
Tehran,Iran,3.521389945,0.055752708,3.522258737752876,80.29909771,1.0417582440395932,4.196094761,0.2831973439873952,0.1190872770243655,5737,1,1382,35.47841779,50.83894432,35.89852449,51.62782429,35.69846215,51.22769995,Iran,IRN,0,1,IRN,Asia,South-Central Asia,Tehran; Karaj; Eslamshahr; Qods; Shahriyar,GISCO OSM,3,1,2,337,952,1198,Deserts and Xeric Shrublands,Calcisols,1238.79683,"Steppe (semi-arid), and  Cold arid",NAN,277.7250023,270.0500069,257.9750061,13.11537695,14.00272465,13.97009325,356.2854309,580.5783081,652.0734253,683.0197754,2691051.06,7428341.757,9875802.821,12515044.54,132.3963845,78.15718866,66.02738401,54.57589647,34.80218329,93915684864,107065409536.00002,2.07439E+11,UMIC,LDC,0,0.147925779,0.207490946,0.191523847,2.152252167,472.9831681,903.0179927,1378.153413,22.51092562,738.2613593,617.381128,1378.153413,40.79557479,631.8190809,705.5387572,1378.153413,484527.3115,2139638.333,4751662.369,6343258.147,2228645.146,5888430.309,14499920.61,22668421.59,2279883.249,6591377.39,10208283.79,23132489.45,974820.0973,2550604.591,5054593.678,9136856.378,52.7701982,122.8051489,294.5626734,265.7599463,,,,460.7519785,38586.07472,23115.9393,9287.100186,25279.00598,,,,,,,,,,,,,39.17284176,110.0296966,150.1740156,133.5844456,220.7574069,335.6643509,519.0107457,449.6045054,683.6165772,1637.778478,2245.698071,2933.235361,376.5954824,983.9703412,1420.134416,2105.513864,0.180744463,0.268037112,0.297035097,0.303343438,39.71914,36.71534,38.10414,36.2359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424985,7,available,10.28030014,0.31152,0.008304553,50.58,POINT (51.2276999457 35.6984621488)
Baghdad,Iraq,3.514934771227096,0.061453686,3.5271691970856285,92.06026191022988,1.0305736369838885,5.493422893926672,0.077416372,0.1268207206220567,5314,1,787,33.03509018,44.0788578,33.49390896,44.56068794,33.3214056,44.38012986,Iraq,IRQ,0,1,IRQ,Asia,Western Asia,Baghdad,GISCO OSM,2,3,3,527,601,697,Deserts and Xeric Shrublands,Fluvisols,37.62176877,"Desert (arid), and  Hot arid",Tigris & Euphrates,129.5499992,117.1500053,98.35000134,22.48869991,23.76269674,23.73378229,299.8563843,362.4779663,407.8374939,434.2586975,2810079.821,3562090.82,4230363.589,5367305.285,106.7074259,101.759889,96.40719653,80.90814188,37.91153902,34616549376,36590002176,53352497152,UMIC,LDC,0,0.132133315,0.18909796,0.150352618,0,240.5286465,545.0310685,785.559715,5.513921485,432.0991972,347.9465964,785.559715,3.32988325,286.044164,496.1856678,785.559715,478221.5505,1392815.948,2138382.313,8307620.112,870650.7333,1453814.575,1799661.463,1395866.2,1093323.188,3079672.513,3011316.946,4377291.623,564937.106,2864807.845,3351471.832,3637844.065,1120.157268,22.64484422,291.7814175,1293.042617,,,,,3581.566781,2449.887253,2312.600439,2285.994655,,,,,,,,,1316.75337,2520.18715,1296.48638,2484.130362,25.13415902,125.5088748,181.6511433,728.1831295,53.09002225,84.70854144,104.1444059,81.60052002,318.5872701,1165.753646,820.5701743,887.0831184,162.731954,787.3338813,789.694684,640.5704936,5.214724917,11.0198382,5.427494794,9.51162928,32.02166,41.66524,61.76064,47.96715,751,287.9880371,347.5780334,390.8546143,416.1558533,2688716.363,3408854.052,4049400.318,5140007.165,0,0,0,0,0,0,0,0,0,0.067029,4,available,10.12709999,0.4407,0.000604748,44.82,POINT (44.3801298593 33.3214056006)
Dubai,United Arab Emirates,3.448125794778824,0.1194431167242665,3.415066790914272,98.82961864505766,1.055478416,4.232198303526514,0.04482298,0.057138892,5915,1,766,24.93851185,55.03047292,25.44262774,55.55526213,25.22126099,55.3301766,United Arab Emirates,ARE,0,1,ARE,Asia,Western Asia,Dubai; Sharjah; Ajman,GISCO OSM,1,2,1,123,284,394,Deserts and Xeric Shrublands,Sand Dunes,10.13676695,"Desert (arid), and  Hot arid",NAN,109.0500011,48.65000153,90.27500248,27.21242666,28.17708349,28.25632381,243.0299072,248.4062347,268.1312866,288.9580078,193478.1983,792320.3942,1463801.744,4909470.569,1256.110039,313.517406,183.1745916,58.85726449,69.54524382,86144073728,1.05984E+11,1.4598E+11,HIC,LDC,53.40842288134837,0.086935346,0.131982294,0.139459741,0,0.900874063,760.9998781,718.4548865,0,30.01069833,731.8900538,723.3247253,0,85.05011836,676.8506338,761.0731725,99652.90693,1198480.726,2769459.506,6395160.205,,107570.1375,123552.2899,407494.9093,921569.5538,10897352.14,15839034.38,39406569.59,572711.799,2507370.139,3354306.266,6839018.966,6.66554936,100.7081429,299.1047473,497.0112832,,,,,,,12252.06005,12685.53683,,,,,,,,,0.229764499,47.60124934,47.84161699,36.21984806,1.039161381,12.49754653,28.87953315,66.6875263,,6.319921369,24.76891187,42.08223502,162.8557537,1930.777285,2295.97257,10258.49686,125.4218031,852.7356022,746.3765690857811,322.1790015,0.030441993,0.672230367,1.104041342,1.949588571,65.05282,64.98694,69.03984,77.99715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014193,3,available,4.825449944,0.082905,0.000994651,100,POINT (55.3301765951 25.2212609943)
Yangon,Myanmar,3.5347210314292354,0.043924535,3.538642263272404,90.48440493748836,1.035567855780274,5.572873867903689,0.1317428760768721,0.2034239010382151,10248,1,524,16.71941205,96.00673571,17.06487221,96.29093358,16.86997966,96.148838,Myanmar,MMR,0,1,MMR,Asia,South-Eastern Asia,Yangon,GISCO OSM,0,3,2,0,337,443,Tropical and Subtropical Moist Broadleaf Forests,Gleysols,10.86308438,Tropical monsoon,Irrawaddy,2418.425049,2995.075073,2474.400024,27.5870142,27.6920023,28.039639,88.13844299,121.2298965,179.330307,188.6559143,166921.8137,1468137.67,3175492.344,5686185.435,528.0223179,82.57392954,56.47322921,33.17793914,10.72588791,1610974592,2649883648,20513220608,LMIC,LDCL,0,0.413335687,0.47849741,0.481815045,83.94724816,426.0798871,11.12203295,521.1491682,240.2766453,273.5588158,7.313707136,521.1491682,324.3792938,186.4956222,10.27425216,521.1491682,171740.4228,850924.5748,1459845.302,3626400.456,4793.400924,3054.356581,17994.46361,221328.9044,12572.21103,59293.79475,185754.6778,516977.7772,77363.40858,87931.28455,182161.0382,452570.6708,125.3875254,170.5270408,479.4234123,273.7871715,,,,,1033582.484,304114.6346,212122.7715,159129.5137,,,83230.84624,136906.7566,,,,,66092.74425,77475.90849,111225.2577,133958.7568,1.790871184,8.873254662,15.22292373,37.8153897,3664.710593,1245.845367,974.2840255,852.4826754,29.73116619,173.9940126,435.6323323,600.4622047,41.47613348,40.87430312,102.9836319,257.1453383,265.767259,307.0815935,440.3284485,568.0426167,23.0752,25.21062,23.74812,28.05145,184,14.04832745,27.32064819,49.76928711,53.90587616,49944.59312,446747.3087,980657.5528,1765812.611,187,51.69483566,62.84001541,80.8713913,83.38017273,75749.93046,662118.4774,1422849.452,2538224.221,0.146223,5,preliminary,18.08670044,0.3266,0.4547314445779999,64,POINT (96.1488380009 16.8699796566)
Jeddah,Saudi Arabia,3.343349705076333,0.2066637149407987,3.3741640662450743,113.4574743612128,1.0404358653369563,5.057345765495918,0.048867095,0.1449103821440649,4921,1,537,21.3473932,39.07313362,21.72153666,39.3902997,21.52003575,39.21397624,Saudi Arabia,SAU,0,1,SAU,Asia,Western Asia,Jeddah,GISCO OSM,1,1,1,258,426,460,Deserts and Xeric Shrublands,Calcisols,37.02177141,"Desert (arid), and  Hot arid",NAN,39.14999938,66.05000114,43.62499952,28.33562708,28.94992828,29.34353685,149.3262939,163.6826477,187.2120209,193.9250488,894946.8276,1941109.884,2485767.826,3517161.719,166.8549341,84.32425646,75.31355861,55.13680186,83.98406328,65346400256,65345589248,1.22413E+11,HIC,LDC,541.8144574536825,0.045954067,0.113750606,0.102397042,0,0,533.5826132,474.2278323,0,2.777090875,530.8055223,528.4512361,0,4.207217237,529.375396,531.9493683,1609442.483,12901014.08,27063254.65,68709354.09,106998.7146,320907.5385,420705.3991,561839.8723,1388849.83,9507730.927,16901872.06,34165366.41,220491.2369,1262176.52,1625246.338,4038227.329,,167.5034168,323.3079924,157.2875432,,,,,205.3526538,1569.906592,495.0557712,406.6717766,,,,,,,,0.000335966,,,,,184.8368186,1349.49558,2892.446225,6415.939668,6.643976737,24.79327578,26.14883018,33.51157053,353.8075881,1170.035631,1849.70346,4506.599575,20.33708574,192.9826558,171.3884246,241.7220444,0.020850531,0.238883173,0.361195218,0.580146034,38.16056,42.07462,48.59564,56.66315,12,1.240336895,1.614900112,2.163210154,2.30233407,7428.699187,19167.08107,28760.76601,41830.50336,0,0,0,0,0,0,0,0,0,0.033202,3,available,,0.28524,2.7293812839900004e-05,63.89,POINT (39.213976242 21.5200357534)
Riyadh,Saudi Arabia,3.142574550018007,0.3610914375701227,3.1473278117626693,100.73582979692252,1.0266480741661004,5.213834885613528,0.021945926,0.108246677,5698,1,1016,24.51901361,46.51587266,24.88814361,46.93134228,24.68844112,46.73541853,Saudi Arabia,SAU,0,1,SAU,Asia,Western Asia,Riyadh,GISCO OSM,1,2,2,359,712,826,Deserts and Xeric Shrublands,Luvisols,618.6177534,"Desert (arid), and  Hot arid",NAN,113.5500031,76.02500296,88.22499847,25.53662777,26.62260723,26.5990057,336.8685303,498.7607117,599.9475098,634.6692505,1106262.241,2645865.653,3640158.872,5673782.585,304.5105561,188.5056829,164.8135509,111.8599878,129.5972203,91684323328,91683135488,1.95336E+11,HIC,LDC,0,0.078744281,0.140079103,0.107533157,0,1.650546426,1008.862322,1010.512868,0,51.07673538,959.4361328,1010.512868,0,24.58487921,985.927989,1010.512868,4101.88,16539780,31178600,59811800,188995.2363,592903.5811,803046.5123,1151577.782,1571514.084,10778876.27,19271407.29,48534073.24,510725.9551,4066936.787,5133975.271,12919976.37,,597.1510649,564.2097393,460.0904134,,,,,656.6883979,2422.13827,647.3159065,628.1881821,,,,,,,,,897.106375,20855.79858,10451.17822,3492.166602,0.471082,175.57,331.778,1443.954,12.95591822,43.74704473,48.62631375,67.79883487,671.4297645,2681.308173,4295.57032,11615.67363,62.74473296,714.2775429,621.6825972,813.864936,3.264131135,75.44517636,37.77842538,12.80133291,40.31672,51.95208,64.641,69.94885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,8.999970436,0.31589,7.70003264746e-05,37.53,POINT (46.7354185322 24.6884411162)
Algiers,Algeria,3.562433002689135,0.019101151,3.5647492907214504,94.37267738446432,1.080614114442786,4.926105748,0.1959406713505074,0.1047771367643418,2095,1,727,36.60057752,2.803915603,36.82045959,3.585224255,36.72933862,3.131149093,Algeria,DZA,0,1,DZA,Africa,Northern Africa,Algiers; Les Eucalyptus; Kouba,GISCO OSM,2,2,3,186,353,467,"Mediterranean Forests, Woodlands, and Scrub",Cambisols,72.19668219,"Mild temperate with dry summer, and  Hot summer",NAN,415.5250168,437.3250046,582.0250168,18.30551958,18.4195261,18.43033552,160.8084717,242.5899811,275.6761169,290.1586609,1899484.725,2525203.293,2845741.587,3857232.509,84.65899702,96.06750544,96.87320808,75.22457103,43.36835633,19350910976,19298422784,35141832704,UMIC,LDC,0,0.171454967,0.386798703,0.359842022,0,260.0138994,464.589476,694.6309565,340.6839817,343.8915789,40.02781477,724.6033754,274.4077724,404.6947282,45.50087475,724.6033754,338175.6125,417571.1542,262615.7193,120976.1601,638910.2355,1604608.485,2196407.222,6046995.406,797469.0874,2443437.761,2999976.94,5762234.64,555938.1277,1670728.17,1815293.536,4467661.919,0.031933172,,0.298045236,5.960898264,,,,,2246.902688,3084.04256,4261.019726,207.9327527,,,36405.97626,4406.088191,,,,18.33465037,127.8003769,88.51526696,66.94261193,194.3644872,40.88660564,51.28069364,32.25111614,14.8567257,38.41829948,120.9786796,152.8616064,223.2989524,114.5667064,443.5152772,642.4481522,1312.000588,732.8060022,774.9048532,841.6994503,1440.706276,0.577636584,0.670640275,0.727856094,1.308969003,21.02246,21.39752,19.91002,22.4688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32508,6,available,3.165390015,0.42267,0.120397354,60.09,POINT (3.13114909349 36.7293386237)
Cairo,Egypt,3.487038298602975,0.085892355,3.506159973295333,62.95073944873654,1.0271643625858782,5.209594732758558,0.1711853468591607,0.1024588678041317,3902,1,1585,29.64269119,31.00555157,30.41163504,31.53027022,30.05929287,31.26071834,Egypt,EGY,0,1,EGY,Africa,Northern Africa,Cairo; Giza; Shubra al Khayma; Al-Obour; 15th of May City,GISCO OSM,3,3,5,741,1056,1255,Flooded Grasslands and Savannas,Fluvisols,36.61950774,"Desert (arid), and  Hot arid",Nile,31.02499962,19.42500091,21.50000024,21.2605176,21.84381866,22.89914846,442.8387756,518.3275146,595.4559326,637.7693481,8948355.606,12691065.5,15110881,19734085.73,49.48828535,40.84192258,39.40577209,32.31816041,47.07264126,75414388736,120978890751.99998,1.39322E+11,LMIC,LDC,0,0.183812807,0.266860719,0.220934602,217.9838933,735.4535858,625.8778777,1579.315357,638.0908702,562.6657575,378.5587291,1579.315357,544.3542559,503.9609914,531.0001095,1579.315357,740468,5698088.182,7389276.761,16407502.28,1797599.228,3234058.866,3572668.476,5356127.908,4371040.621,11235869.93,14924843.68,20427285.67,963580.2481,2723961.585,4407325.804,8698053.596,2518.45186,8526.424291,14311.59581,20825.66613,,,,,196860.5119,244957.9824,256401.1134,218605.7848,,,,,,,,,6130.556397,10213.97276,14163.55337,17519.83869,87.0979,387.9584766,236.301382,824.564955,927.6396384,1034.835895,1096.372711,1044.76149,1370.837622,3435.870941,4099.3693,6821.229002,278.6086746,895.268699,2258.940664,1884.60001,53.2044052,81.51466201,134.8659475,194.271164,21.4893,24.92062,26.47058,32.6396,1005,240.3301697,258.3145142,281.7794189,305.2433167,3283991.211,5032146.493,6357086.123,9251172.343,0,0,0,0,0,0,0,0,0,0.2170349999999999,6,available,4.927130222,0.46975,0.041404763,59.76,POINT (31.2607183416 30.0592928673)
Alexandria,Egypt,3.4250858896713967,0.1390127023070433,3.456792233849462,63.08630422421477,1.026810872219488,5.465335811611808,0.1241822412808992,0.1576829071962767,3751,1,598,30.98555823,29.66034991,31.33740772,30.22468959,31.07134156,29.80143483,Egypt,EGY,0,1,EGY,Africa,Northern Africa,Alexandria,GISCO OSM,2,2,2,378,453,508,"Mediterranean Forests, Woodlands, and Scrub",Fluvisols,3.229600677,"Desert (arid), and  Hot arid",NAN,321.3500023,226.4000053,232.7500038,20.7840209,21.44212294,22.2112236,191.9664459,215.2575836,236.7342834,251.108078,2380257.682,3537500.21,4262142.793,5532976.203,80.64943865,60.8501967,55.54348949,45.38390711,38.00693027,18605230080,30928930816,43617767424,LMIC,LDC,98.82689668357118,0.148608374,0.304989281,0.239349878,64.13125047,189.858965,342.1696127,501.8671732,221.7150001,277.2330864,97.21174165,596.1598282,190.9237992,144.3914708,260.8445582,596.1598282,230726.5314,1167065.347,953007.3495,10837317.56,172691.6356,328107.3447,370793.2194,549433.1113,927901.179,2052930.822,2676577.46,3001946.66,100973.6093,276061.416,450552.4196,871518.4759,275.5900947,933.0313235,1566.091433,2278.917386,,,,,27344.69715,37840.06728,42256.56958,43073.07244,,,,,,,,10.41033388,736.6196107,1194.696548,1723.235655,2069.528607,27.13931399,114.2473405,59.55857916,607.6695657,118.6273737,150.4582268,168.5417773,179.4490028,274.1594416,568.3205438,697.0247416,978.56242,97.35473953,174.2741367,345.801553,336.6995554,5.158068418,7.186661793,10.98983612,13.03893621,18.48952,23.36554,23.35284,28.70315,401,96.51540375,108.6633072,125.8934021,138.7143707,1123405.416,1733294.904,2253171.549,3041436.219,0,0,0,0,0,0,0,0,0,0.075921,4,available,4.195980072,0.34439,0.078169043,58.01,POINT (29.8014348285 31.0713415601)
Casablanca,Morocco,3.4462185309806377,0.1210714530298605,3.460768024013495,72.31017404883166,1.0445495317783928,5.366007804546997,0.058873431,0.1786986766202918,1575,1,393,33.49390896,-7.796767246,33.73667339,-7.326552992,33.58610659,-7.548582377,Morocco,MAR,0,1,MAR,Africa,Northern Africa,Casablanca; Mohammedia,GISCO OSM,1,1,1,245,288,325,"Mediterranean Forests, Woodlands, and Scrub",Luvisols,66.8309909,"Mild temperate with dry summer, and  Hot summer",NAN,354.1750031,357.5250092,315.5250092,18.17926693,18.57950878,18.80538702,74.7677536,103.3933945,135.1002502,157.0854492,1863177.741,2732276.627,3257845.453,3985659.611,40.12915782,37.84148114,41.46920171,39.41266053,39.86964266,13006557184,12629318656,26796582912,LMIC,LDC,24.83427217601255,0.159991098,0.269097396,0.262157299,0,198.5167706,192.9814852,384.4970846,43.78128062,291.9401213,55.77685395,391.4982558,62.92774399,243.0299339,85.54057793,391.4982558,309195.9687,614117.7384,1539135.226,2061845.361,138538.0459,277753.6116,532225.9113,1059459.801,659831.254,1262149.983,1443745.607,1548407.929,117915.3296,193730.2183,350579.3218,620617.9479,6.94784066,20.45759893,21.58042066,15.79056314,,,,,28053.06399,42774.79527,38670.36586,20523.86199,,,47754.07762,13169.92312,,,,0.52842393,164.0476283,276.9750299,146.8379258,481.3562237,81.82640474,830.4748702,1789.589742,1252.533238,110.6286498,165.597734,166.2418423,133.7801717,236.7903043,712.9779829,1107.595608,974.9487679,36.80261113,82.70994813,185.5530814,175.7741349,0.669542472,1.182853502,0.772532249,2.144992037,17.65552,19.93488,16.99078,21.61855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042141,4,available,4.180399895,1.1077,0.040463091,60.03,POINT (-7.54858237678 33.5861065907)
Amman,Jordan,3.5607069303146788,0.020656595,3.561310537116376,94.34738430602846,1.048328561,4.991856932,0.099036375,0.1117284486500564,4408,1,542,31.83599815,35.79927372,32.14597933,36.14947828,31.97680056,35.9471688,Jordan,JOR,0,1,JOR,Asia,Western Asia,Amman; Zarqa; Marj Al-hamam; Al-Ruseifa,GISCO OSM,1,1,1,158,311,449,"Mediterranean Forests, Woodlands, and Scrub",Calcisols,826.0033599,"Steppe (semi-arid), and  Cold arid",Dead Sea,354.2750015,273.9749985,308.4000092,19.13602257,19.9613328,20.29911852,29.69763184,161.3335266,245.2352142,276.2383118,1043119.496,1712953.193,2376729.079,3672402.985,28.47001896,94.18443381,103.1818125,75.22004336,32.02836542,13116175360,15179389952,29532266496,LMIC,LDC,0,0.118358243,0.209147589,0.177075672,0,7.919804144,531.9344589,539.8675223,0,371.1427308,168.7115322,539.8675223,0,219.2066393,320.6476237,539.8675223,24154.83467,242919.3977,439490.8074,1922567.311,232626.6174,895521.8493,1410856.338,1168833.355,228220.5771,1118434.985,1661837.975,1316384.896,132052.2452,339857.4463,451547.3463,966150.0361,196.9964239,368.1207346,375.7943599,390.3378719,,,,948.8089204,868.925136,1239.757786,1216.431491,1127.251394,,,,,,,,,2367.221662,2599.63455,797.4332479,1253.210291,2.83990574,26.65651886,47.40752441,109.2428146,15.301791,50.14316983,78.30849379,67.9471549,82.83391227,381.5187676,730.7492556,841.7897792,40.81743215,112.0898129,113.4274606,75.4695721,11.43031301,12.51283878,6.985463696,10.04809293,15.19512,16.7133,20.58474,21.69355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1579529999999999,5,available,7.175169945,0.70518,0.000136524,49.03,POINT (35.9471688015 31.9768005622)
Lagos,Nigeria,3.5598150581988017,0.021459819,3.5564523645687016,111.99979774498344,1.0457216582328934,4.968083421927662,0.2320907507521093,0.069567283,2125,1,1196,6.394354141,2.995247126,6.848427141,3.666313687,6.567182195,3.297387983,Nigeria,NGA,0,1,NGA,Africa,Western Africa,Lagos,GISCO OSM,2,2,1,741,869,968,Tropical and Subtropical Moist Broadleaf Forests,Arenosols,23.69232814,Tropical savannah with dry winter,Oueme,1471.525055,1258.825027,1341.825012,27.35329485,27.32036829,27.61837816,426.3349915,648.3184204,781.09021,813.7171631,3976311.781,6038808.285,7825961.772,11575042.53,107.2187029,107.3586691,99.80756777,70.29928063,9.002027077,19156613120,22699976704,74539024384,LMIC,LDC,359.36681806320235,,0.325246619,0.284711985,0,0,0,0,65.53733193,1028.515719,92.67655365,1186.729604,106.6879036,851.2131076,228.8285932,1186.729604,83788.31568,427633.2753,480107.5999,157159.998,79393.29014,277824.4021,342749.8672,535128.5716,178557.449,478650.3074,670128.8428,1409003.601,390121.4579,884363.1634,1598745.522,1989523.556,79.2907029,15.76019543,36.68224963,42.0370998,,,,,1569222.682,1245092.693,1175001.363,1023934.312,152399.519,173581.0649,561732.4237,1218908.392,,,,0.699032302,3156.454495,8263.217335,11175.7643,21769.87635,52.02786049,12.76481071,5.006467177,1.638826452,5520.646836,4370.561069,4137.248087,3622.842228,917.7091437,903.0666916,2484.531685,6410.011997,90.39257907,178.8282438,276.4154116,153.5911411,14.71302225,37.49445789,47.41100026,88.54823203,31.82838,34.30102,38.68982,44.66105,253,63.55413437,107.6999435,122.4161377,126.3376846,454559.8629,719840.9706,973644.967,1441120.489,0,0,0,0,0,0,0,0,0,0.008394,2,available,12.97220039,0.34924,0.026830394,31.96,POINT (3.29738798285 6.56718219547)
Luanda,Angola,3.5393761369184364,0.039776891,3.535181162042163,83.78685510997894,1.029686845130292,5.700068091462209,0.114492499,0.178081139,3050,1,771,-9.088992225,13.070813,-8.747723626,13.50222048,-8.901886424,13.3028378,Angola,AGO,0,1,AGO,Africa,Middle Africa,Luanda,GISCO OSM,0,0,1,0,0,468,Montane Grasslands and Shrublands,Luvisols,79.062472,"Steppe (semi-arid), and  Hot arid",Cuanza,464.6500092,517.7000122,411.5750122,25.42964745,25.43093109,25.5166378,311.0622864,351.6397705,419.8721924,463.6731262,1776.834529,58125.94004,488036.7259,6786991.194,175065.4219,6049.618643,860.3290901,68.3179207,26.88231718,2123340544,1692424448,41944522752,LMIC,LDCL,0,0.185500967,0.253205791,0.204529732,0,369.600628,398.3047591,727.3766902,0,599.2218716,168.6835156,767.9053872,0.700896067,465.9007053,301.3037858,767.9053872,69880.66565,49407.99094,116499.3518,443882.707,23.84527331,2808.145451,27664.86947,1098749.864,59615.46212,41584.1498,82252.29017,778609.4413,76806.36941,97226.35947,112383.0416,660435.7765,,,,,,,,,8085.509628,38481.48915,193938.513,278463.2015,43.23634757,1243.73841,10593.79896,127065.8487,,,,,600.236833,458.1354542,651.3745754,2014.665559,8.215945292,5.808958721,13.9484999,54.41607328,29.46194035,140.3639905,709.2885946,1073.472144,42.73630156,46.17366227,294.1093398,3575.84836,36.09410351,29.05280197,30.31824648,241.0563603,4.758490267,4.813310758,5.896724907,25.85845711,26.65086,19.51102,15.95604,20.1842,5,0.1746339946989999,0.3906249701979999,0.8195750117299999,1.480126023,1.7064477726799998,75.12134647,1091.532379,21157.28821,0,0,0,0,0,0,0,0,0,0.019993,3,available,7.08893013,0.058102,0.000100838,100,POINT (13.3028377967 -8.9018864235)
Johannesburg,South Africa,3.5645721462764755,0.017171756,3.564310961568937,120.17158894584428,1.0795789146344834,5.1717990602375625,0.1440397684877084,0.1760542077560651,3673,1,1638,-26.42798059,27.73652684,-25.94754609,28.35324323,-26.17977081,28.05553562,South Africa,ZAF,0,1,ZAF,Africa,Southern Africa,Johannesburg; Soweto; Randburg; Roodepoort; Krugersdorp; Sandton,GISCO OSM,3,2,1,945,1302,1529,Montane Grasslands and Shrublands,Lixisols,1624.343695,"Mild temperate with dry winter, and  Warm summer",Limpopo,655.0000153,724.8250122,557.8500137,16.4157095,16.45602322,17.24049187,670.7595215,773.8983154,866.6450806,900.3624268,1600849.345,3025150.217,4345203.011,6516134.235,419.0022775,255.8214501,199.4486974,138.1743215,27.22897691,39743504384,38372433920,71123968000,UMIC,LDC,8.333990728851706,0.381782996,0.394992792,0.391329259,162.9436479,1448.062339,19.65755919,1630.663546,196.1487638,1425.580129,8.934653438,1630.663546,339.6603925,1249.944102,41.05905151,1630.663546,1827728.842,2731780.816,3617825.451,5357509.495,2084095.901,2038077.333,1977266.861,6621756.391,7287754.502,18388593.29,19492662.33,35453114.3,3520391.125,4583511.822,5354838.51,7130573.894,189.2093274,136.6423683,168.8889601,275.2060264,,,,,745709.0601,602559.6343,382970.7811,407808.4904,823493.0688,1300733.698,1704681.17,2637071.02,,,,,12722.50276,12405.57129,14411.09448,13238.48716,3803.897717,6729.195832,8020.239555,1587.414586,9172.016919,8079.321041,5920.585522,21505.10227,9598.495045,13363.62145,16218.85209,26296.77769,948.4811469,861.5516866,995.565021,980.6108322,59.13589751,78.01985356,98.74552418,105.887328,41.57812,36.10108,37.74816,42.18455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060569,4,available,5.168079853,0.19725,0.111603616,45.03,POINT (28.0555356182 -26.1797708122)
